읍면동명,업종명,연령대,1인당 이용금액
내도동,식음료,30_40_50,225400.6759098787
노형동,식음료,30_40_50,1438066.6266506603
대정읍,식음료,30_40_50,1193542.0061782878
대포동,식음료,30_40_50,1652755.8479427549
도남동,식음료,30_40_50,887269.8392857143
도두이동,식음료,30_40_50,1040277.3552859619
도두일동,식음료,30_40_50,1041198.152350081
도련이동,식음료,30_40_50,489997.7636363636
도련일동,식음료,30_40_50,837403.4092940125
도순동,식음료,30_40_50,284871.8662952646
도평동,식음료,30_40_50,39086.11111111111
동홍동,식음료,30_40_50,1042248.9566020314
법환동,식음료,30_40_50,914123.6128456735
보목동,식음료,30_40_50,549239.8870431894
봉개동,식음료,30_40_50,638535.2885682575
삼도이동,식음료,30_40_50,406967.63959854015
삼도일동,식음료,30_40_50,692596.1032986111
삼양삼동,식음료,30_40_50,745275.203508772
삼양이동,식음료,30_40_50,722245.4304267161
삼양일동,식음료,30_40_50,646608.764367816
상예동,식음료,30_40_50,1211659.918478261
상효동,식음료,30_40_50,718189.8148148148
색달동,식음료,30_40_50,759791.5298087739
서귀동,식음료,30_40_50,1268969.5249169436
서호동,식음료,30_40_50,620287.0489690722
서홍동,식음료,30_40_50,691445.866838488
성산읍,식음료,30_40_50,1215784.5813356165
신효동,식음료,30_40_50,551390.1963746224
아라이동,식음료,30_40_50,1141169.1957104558
아라일동,식음료,30_40_50,1133032.1388400702
안덕면,식음료,30_40_50,670547.8395490026
애월읍,식음료,30_40_50,1232835.3217692976
연동,식음료,30_40_50,1540918.5188679246
영평동,식음료,30_40_50,395312.3905109489
오등동,식음료,30_40_50,712077.5086505191
오라삼동,식음료,30_40_50,1531007.204610951
오라이동,식음료,30_40_50,1301736.7134268538
오라일동,식음료,30_40_50,526775.4830729166
외도이동,식음료,30_40_50,655316.835443038
외도일동,식음료,30_40_50,983715.2277486911
용담삼동,식음료,30_40_50,1265830.4805389221
용담이동,식음료,30_40_50,1212117.2209567197
용담일동,식음료,30_40_50,944184.8744827586
우도면,식음료,30_40_50,670527.5266524521
월평동,식음료,30_40_50,212866.13149847096
이도이동,식음료,30_40_50,1167432.8981900453
이도일동,식음료,30_40_50,625237.0403780069
이호이동,식음료,30_40_50,579737.5428907168
이호일동,식음료,30_40_50,841869.4476190476
일도이동,식음료,30_40_50,850882.7158524427
일도일동,식음료,30_40_50,799348.2050209205
조천읍,식음료,30_40_50,1147016.0576419213
중문동,식음료,30_40_50,728708.9965004375
추자면,식음료,30_40_50,611480.2972972973
토평동,식음료,30_40_50,1320083.3933518005
표선면,식음료,30_40_50,816027.5657894737
하예동,식음료,30_40_50,432034.0127388535
하원동,식음료,30_40_50,1485690.5829596412
하효동,식음료,30_40_50,546307.9080779945
한경면,식음료,30_40_50,604634.6316348196
한림읍,식음료,30_40_50,1193713.2937062937
해안동,식음료,30_40_50,1143298.6063348416
호근동,식음료,30_40_50,869388.5597667638
화북이동,식음료,30_40_50,698543.6997319035
화북일동,식음료,30_40_50,991968.4833483348
회수동,식음료,30_40_50,1002141.0977917981
강정동,식음료,60_70,526121.1650485437
건입동,식음료,60_70,576623.5387045813
구좌읍,식음료,60_70,511574.1047297297
남원읍,식음료,60_70,510927.35609756096
내도동,식음료,60_70,120193.77990430623
노형동,식음료,60_70,882087.3663911846
대정읍,식음료,60_70,703809.1559370529
대포동,식음료,60_70,847443.4615384615
도남동,식음료,60_70,577096.3572621035
도두이동,식음료,60_70,570836.3265306122
도두일동,식음료,60_70,1008406.6721311476
도련이동,식음료,60_70,189618.22033898305
도련일동,식음료,60_70,290891.4457831325
도순동,식음료,60_70,154151.35135135136
도평동,식음료,60_70,20055.555555555555
동홍동,식음료,60_70,575619.7158322057
법환동,식음료,60_70,557228.7429378531
보목동,식음료,60_70,390527.79456193355
봉개동,식음료,60_70,438707.223476298
삼도이동,식음료,60_70,423942.1774744027
삼도일동,식음료,60_70,513506.7749077491
삼양삼동,식음료,60_70,345225.9541984733
삼양이동,식음료,60_70,358482.2504537205
삼양일동,식음료,60_70,449370.3946587537
상예동,식음료,60_70,747009.8870056497
상효동,식음료,60_70,379100.74626865675
색달동,식음료,60_70,499731.60670194
서귀동,식음료,60_70,880090.8447293447
서호동,식음료,60_70,437652.81045751635
서홍동,식음료,60_70,373966.82018927444
성산읍,식음료,60_70,522867.9887165021
신효동,식음료,60_70,311209.7826086957
아라이동,식음료,60_70,497015.4334365325
아라일동,식음료,60_70,482656.15160349855
안덕면,식음료,60_70,389927.18333333335
애월읍,식음료,60_70,590126.3378176383
연동,식음료,60_70,809290.5799151344
영평동,식음료,60_70,172006.21468926553
오등동,식음료,60_70,646127.6923076923
오라삼동,식음료,60_70,619195.1612903225
오라이동,식음료,60_70,961685.8249158249
오라일동,식음료,60_70,536784.0793201133
외도이동,식음료,60_70,244067.86542923434
외도일동,식음료,60_70,392585.1446945338
용담삼동,식음료,60_70,931744.3972911964
용담이동,식음료,60_70,704596.382306477
용담일동,식음료,60_70,661631.4625
우도면,식음료,60_70,418993.3618843683
월평동,식음료,60_70,131643.58974358975
이도이동,식음료,60_70,797849.8567493113
이도일동,식음료,60_70,518094.7274167987
이호이동,식음료,60_70,318604.1280353201
이호일동,식음료,60_70,306458.96226415096
일도이동,식음료,60_70,623354.3201892745
일도일동,식음료,60_70,463935.9365303244
조천읍,식음료,60_70,589500.7042253522
중문동,식음료,60_70,542796.1234221599
추자면,식음료,60_70,599590.1
토평동,식음료,60_70,732033.9282700422
표선면,식음료,60_70,612704.8127853881
하예동,식음료,60_70,278828.46625766874
하원동,식음료,60_70,451635.71428571426
하효동,식음료,60_70,287237.4755381605
